timestamp,exchtime,bidpx4,bidvol4,bidpx3,bidvol3,bidpx2,bidvol2,bidpx1,bidvol1,bidpx0,bidvol0,askpx0,askvol0,askpx1,askvol1,askpx2,askvol2,askpx3,askvol3,askpx4,askvol4,lastpx,totalvol,totalvalue,openinterest
2024-01-25 09:00:00.532368940,2024-01-25 09:00:00.500000000,5873,65,5874,70,5875,43,5876,35,5877,16,5878,13,5879,95,5880,126,5881,46,5882,11,5877,299366,26407938195,466177
2024-01-25 09:00:01.029232032,2024-01-25 09:00:01.000000000,5871,68,5872,140,5873,104,5874,71,5875,40,5877,61,5878,36,5879,95,5880,88,5881,57,5877,299483,26418251715,466111
2024-01-25 09:00:01.532633666,2024-01-25 09:00:01.500000000,5871,69,5872,139,5873,70,5874,68,5875,38,5877,108,5878,43,5879,97,5880,87,5881,53,5875,299541,26423363400,466102
2024-01-25 09:00:02.010939848,2024-01-25 09:00:02.000000000,5872,140,5873,76,5874,41,5875,2,5876,1,5877,139,5878,44,5879,96,5880,90,5881,53,5876,299626,26430854355,466080
2024-01-25 09:00:02.515492916,2024-01-25 09:00:02.500000000,5870,159,5871,69,5872,141,5873,76,5874,22,5876,34,5877,170,5878,47,5879,100,5880,91,5876,299689,26436406380,466067
2024-01-25 09:00:03.014869628,2024-01-25 09:00:03.000000000,5871,70,5872,142,5873,81,5874,54,5875,6,5876,38,5877,175,5878,53,5879,100,5880,91,5876,299706,26437904595,466061
2024-01-25 09:00:03.521513568,2024-01-25 09:00:03.500000000,5871,71,5872,143,5873,82,5874,51,5875,54,5876,97,5877,176,5878,51,5879,100,5880,91,5875,299791,26445396015,466036
2024-01-25 09:00:04.021431766,2024-01-25 09:00:04.000000000,5870,165,5871,71,5872,143,5873,84,5874,48,5875,99,5876,102,5877,176,5878,71,5879,100,5875,299862,26451653070,465978
2024-01-25 09:00:04.525248254,2024-01-25 09:00:04.500000000,5869,42,5870,165,5871,71,5872,145,5873,80,5874,25,5875,92,5876,111,5877,176,5878,72,5874,299946,26459054565,465967
2024-01-25 09:00:05.029255088,2024-01-25 09:00:05.000000000,5869,42,5870,165,5871,72,5872,147,5873,66,5874,74,5875,106,5876,107,5877,176,5878,67,5874,299970,26461169055,465947
2024-01-25 09:00:05.511070486,2024-01-25 09:00:05.500000000,5868,135,5869,42,5870,165,5871,76,5872,144,5873,7,5874,95,5875,128,5876,109,5877,170,5873,300056,26468745300,465884
2024-01-25 09:00:06.015951862,2024-01-25 09:00:06.000000000,5868,135,5869,42,5870,167,5871,79,5872,125,5873,60,5874,105,5875,218,5876,109,5877,167,5873,300080,26470859295,465867
2024-01-25 09:00:06.525421718,2024-01-25 09:00:06.500000000,5868,135,5869,43,5870,171,5871,78,5872,109,5873,73,5874,109,5875,222,5876,105,5877,168,5873,300114,26473854210,465853
2024-01-25 09:00:07.014120974,2024-01-25 09:00:07.000000000,5868,135,5869,44,5870,171,5871,77,5872,49,5873,45,5874,109,5875,252,5876,105,5877,171,5873,300203,26481693750,465792
2024-01-25 09:00:07.518608812,2024-01-25 09:00:07.500000000,5868,135,5869,44,5870,172,5871,77,5872,17,5873,29,5874,109,5875,253,5876,105,5877,171,5873,300257,26486450400,465750
2024-01-25 09:00:08.010876550,2024-01-25 09:00:08.000000000,5868,135,5869,44,5870,172,5871,77,5872,1,5873,28,5874,109,5875,253,5876,100,5877,170,5873,300299,26490150015,465731
2024-01-25 09:00:08.520142432,2024-01-25 09:00:08.500000000,5868,135,5869,44,5870,172,5871,88,5872,41,5873,14,5874,109,5875,254,5876,104,5877,164,5873,300327,26492616630,465732
2024-01-25 09:00:09.030578894,2024-01-25 09:00:09.000000000,5868,135,5869,45,5870,176,5871,100,5872,10,5873,2,5874,106,5875,259,5876,104,5877,164,5873,300451,26503539600,465672
2024-01-25 09:00:09.515444408,2024-01-25 09:00:09.500000000,5868,135,5869,45,5870,187,5871,90,5872,29,5873,23,5874,106,5875,259,5876,63,5877,164,5873,300479,26506006215,465665
2024-01-25 09:00:10.027982018,2024-01-25 09:00:10.000000000,5867,87,5868,135,5869,46,5870,193,5871,90,5872,2,5873,3,5874,106,5875,260,5876,63,5872,300530,26510498580,465630
2024-01-25 09:00:10.520041162,2024-01-25 09:00:10.500000000,5868,136,5869,46,5870,198,5871,88,5872,51,5874,107,5875,260,5876,54,5877,164,5878,64,5872,300589,26515695540,465632
2024-01-25 09:00:11.010788506,2024-01-25 09:00:11.000000000,5868,139,5869,47,5870,197,5871,92,5872,6,5873,4,5874,243,5875,254,5876,54,5877,164,5872,300647,26520804255,465622
2024-01-25 09:00:11.517755290,2024-01-25 09:00:11.500000000,5867,87,5868,141,5869,47,5870,197,5871,83,5872,2,5873,65,5874,248,5875,254,5876,53,5871,300686,26524239270,465610
