timestamp,exchtime,bidpx4,bidvol4,bidpx3,bidvol3,bidpx2,bidvol2,bidpx1,bidvol1,bidpx0,bidvol0,askpx0,askvol0,askpx1,askvol1,askpx2,askvol2,askpx3,askvol3,askpx4,askvol4,lastpx,totalvol,totalvalue,openinterest
2024-01-25 09:00:00.530013608,2024-01-25 09:00:00.500000000,5875,12,5876,29,5877,4,5878,8,5879,2,5880,12,5881,16,5882,35,5883,5,5884,63,5879,74012,6528647280,228859
2024-01-25 09:00:01.028155736,2024-01-25 09:00:01.000000000,5873,4,5874,7,5875,48,5876,32,5877,11,5879,3,5880,15,5881,12,5882,39,5883,4,5878,74025,6529793595,228853
2024-01-25 09:00:01.529719316,2024-01-25 09:00:01.500000000,5873,6,5874,9,5875,14,5876,36,5877,4,5879,10,5880,15,5881,6,5882,39,5883,4,5877,74047,6531733185,228854
2024-01-25 09:00:02.009796928,2024-01-25 09:00:02.000000000,5872,16,5873,6,5874,9,5875,18,5876,30,5877,1,5878,4,5879,17,5880,13,5881,6,5877,74060,6532879260,228848
2024-01-25 09:00:02.513232258,2024-01-25 09:00:02.500000000,5873,6,5874,14,5875,28,5876,37,5877,15,5878,24,5879,15,5880,14,5881,6,5882,39,5877,74066,6533408220,228851
2024-01-25 09:00:03.013551304,2024-01-25 09:00:03.000000000,5872,14,5873,6,5874,14,5875,30,5876,34,5877,15,5878,32,5879,19,5880,14,5881,6,5877,74098,6536229030,228845
2024-01-25 09:00:03.519466796,2024-01-25 09:00:03.500000000,5871,15,5872,14,5873,6,5874,14,5875,29,5876,35,5877,10,5878,30,5879,19,5880,22,5876,74168,6542399175,228844
2024-01-25 09:00:04.019880554,2024-01-25 09:00:04.000000000,5871,15,5872,11,5873,6,5874,29,5875,31,5876,21,5877,23,5878,30,5879,19,5880,24,5876,74191,6544426320,228854
2024-01-25 09:00:04.523208572,2024-01-25 09:00:04.500000000,5871,15,5872,13,5873,13,5874,26,5875,2,5876,23,5877,28,5878,30,5879,14,5880,24,5875,74221,6547070145,228840
2024-01-25 09:00:05.027727518,2024-01-25 09:00:05.000000000,5871,16,5872,13,5873,11,5874,19,5875,3,5876,33,5877,28,5878,30,5879,14,5880,24,5876,74230,6547863330,228839
2024-01-25 09:00:05.509666844,2024-01-25 09:00:05.500000000,5870,53,5871,27,5872,13,5873,11,5874,19,5875,27,5876,41,5877,65,5878,24,5879,14,5875,74240,6548744580,228832
2024-01-25 09:00:06.014252990,2024-01-25 09:00:06.000000000,5870,53,5871,27,5872,19,5873,11,5874,1,5875,32,5876,41,5877,66,5878,24,5879,2,5875,74258,6550330590,228837
2024-01-25 09:00:06.523907272,2024-01-25 09:00:06.500000000,5870,55,5871,33,5872,12,5873,14,5874,1,5875,46,5876,43,5877,60,5878,24,5879,2,5874,74267,6551123580,228835
2024-01-25 09:00:07.012544406,2024-01-25 09:00:07.000000000,5870,55,5871,33,5872,12,5873,14,5874,3,5875,46,5876,43,5877,61,5878,24,5879,2,5875,74270,6551387925,228833
2024-01-25 09:00:07.517016066,2024-01-25 09:00:07.500000000,5870,55,5871,33,5872,16,5873,12,5874,1,5875,46,5876,43,5877,61,5878,24,5879,2,5874,74274,6551740365,228830
2024-01-25 09:00:08.009505812,2024-01-25 09:00:08.000000000,5870,55,5871,33,5872,16,5873,11,5874,1,5875,47,5876,43,5877,63,5878,24,5879,2,5874,74279,6552180900,228826
2024-01-25 09:00:08.518922834,2024-01-25 09:00:08.500000000,5870,47,5871,33,5872,20,5873,2,5874,2,5875,28,5876,39,5877,67,5878,24,5879,2,5875,74304,6554383815,228819
2024-01-25 09:00:09.029127214,2024-01-25 09:00:09.000000000,5870,47,5871,29,5872,22,5873,13,5874,2,5875,27,5876,37,5877,63,5878,28,5879,2,5874,74307,6554648145,228816
2024-01-25 09:00:09.514200492,2024-01-25 09:00:09.500000000,5870,47,5871,29,5872,23,5873,13,5874,3,5875,26,5876,37,5877,63,5878,28,5879,2,5874,74315,6555353040,228811
2024-01-25 09:00:10.026809204,2024-01-25 09:00:10.000000000,5869,23,5870,47,5871,29,5872,23,5873,14,5874,9,5875,26,5876,39,5877,63,5878,28,5874,74323,6556057920,228812
2024-01-25 09:00:10.518783960,2024-01-25 09:00:10.500000000,5869,23,5870,47,5871,29,5872,21,5873,7,5874,8,5875,24,5876,40,5877,63,5878,17,5874,74333,6556938990,228817
2024-01-25 09:00:11.009575870,2024-01-25 09:00:11.000000000,5870,46,5871,28,5872,23,5873,19,5874,19,5875,26,5876,39,5877,57,5878,16,5879,2,5874,74350,6558436860,228823
2024-01-25 09:00:11.516666500,2024-01-25 09:00:11.500000000,5870,46,5871,28,5872,23,5873,25,5874,12,5875,30,5876,39,5877,57,5878,17,5879,2,5875,74352,6558613110,228823
2024-01-25 09:00:12.028402942,2024-01-25 09:00:12.000000000,5869,24,5870,46,5871,28,5872,22,5873,25,5875,30,5876,39,5877,58,5878,18,5879,1,5874,74369,6560110980,228817
2024-01-25 09:00:12.524757966,2024-01-25 09:00:12.500000000,5869,24,5870,46,5871,29,5872,34,5873,18,5874,2,5875,29,5876,41,5877,58,5878,16,5875,74381,6561168300,228809
2024-01-25 09:00:13.015959840,2024-01-25 09:00:13.000000000,5869,24,5870,46,5871,29,5872,35,5873,21,5874,6,5875,28,5876,41,5877,58,5878,16,5874,74383,6561344520,228809
2024-01-25 09:00:13.522548390,2024-01-25 09:00:13.500000000,5869,24,5870,46,5871,28,5872,33,5873,22,5874,1,5875,28,5876,41,5877,58,5878,16,5874,74389,6561873180,228809
